gene_id	transcript_id(s)	T1_R1	T1_R10	T1_R2	T1_R3	T1_R4	T1_R5	T1_R6	T1_R7	T1_R8	T1_R9
ENSOARG00020017151	ENSOART00020026404	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOARG00020017152	ENSOART00020026448,ENSOART00020026510	1.00	29.00	1.00	2.00	2.00	0.00	7.00	1.00	15.00	0.00
ENSOARG00020017153	ENSOART00020026419,ENSOART00020026495	5.00	1.00	9.00	9.00	54.00	40.00	4.00	38.00	14.00	13.00
ENSOARG00020017154	ENSOART00020026526	1027.00	1327.00	328.00	411.00	625.00	637.00	17.00	109.00	1375.00	229.00
ENSOARG00020017155	ENSOART00020026610,ENSOART00020026737,ENSOART00020026879	2197.00	1575.00	1330.00	1250.00	1138.00	1719.00	1986.00	1540.00	3007.00	976.00
ENSOARG00020017156	ENSOART00020026437,ENSOART00020026452	108.00	85.00	100.00	85.00	171.00	115.00	125.00	102.00	178.00	380.00
ENSOARG00020017157	ENSOART00020026392	843.62	665.45	908.91	778.12	942.33	1074.76	418.05	1043.63	934.24	247.59
ENSOARG00020017158	ENSOART00020026496	77.00	18.00	97.00	38.00	127.00	128.00	13.00	110.00	82.00	8.00
ENSOARG00020017159	ENSOART00020026426,ENSOART00020026468	504.00	427.00	156.00	199.00	308.00	283.00	205.00	324.00	662.00	186.00
ENSOARG00020017160	ENSOART00020026372	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOARG00020017161	ENSOART00020026505,ENSOART00020026669	1165.00	1246.00	1156.00	1069.00	1190.00	1637.00	866.00	1235.00	1895.00	525.00
ENSOARG00020017162	ENSOART00020026377	105.00	74.00	188.00	324.00	1020.00	756.00	36.00	368.00	156.00	107.00
ENSOARG00020017163	ENSOART00020026396	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOARG00020017164	ENSOART00020026424,ENSOART00020026456,ENSOART00020026541,ENSOART00020026626,ENSOART00020026736,ENSOART00020026815,ENSOART00020026899	312.00	206.00	435.00	288.00	282.00	497.00	73.00	339.00	418.00	146.00
ENSOARG00020017165	ENSOART00020026414,ENSOART00020026451	185.00	499.00	47.00	98.00	583.00	115.00	416.00	695.00	1136.00	693.00
ENSOARG00020017166	ENSOART00020026399,ENSOART00020026435	3198.00	4772.00	1933.00	2576.00	34144.00	4874.00	880.00	3809.00	3338.00	2197.00
ENSOARG00020017167	ENSOART00020026389	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOARG00020017168	ENSOART00020026434	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOARG00020017169	ENSOART00020026770,ENSOART00020026799	125.00	86.00	72.00	63.00	71.00	107.00	48.00	88.00	144.00	46.00
ENSOARG00020017170	ENSOART00020026385	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOARG00020017171	ENSOART00020027677,ENSOART00020027722,ENSOART00020027788,ENSOART00020027925	0.00	0.00	70.00	430.00	508.00	233.00	0.00	380.00	0.00	0.00
ENSOARG00020017172	ENSOART00020026411	157.81	574.94	232.83	597.93	704.25	858.24	881.74	409.45	660.00	836.46
ENSOARG00020017173	ENSOART00020026442,ENSOART00020026479	86.00	47.00	64.00	62.00	135.00	102.00	18.00	190.00	161.00	29.00
ENSOARG00020017174	ENSOART00020026422	76.00	72.00	40.00	52.00	40.00	99.00	211.00	49.00	118.00	149.00
ENSOARG00020017175	ENSOART00020026620	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOARG00020017176	ENSOART00020026406	25.00	45.00	59.00	103.00	149.00	73.00	71.00	190.00	21.00	100.00
ENSOARG00020017177	ENSOART00020026459,ENSOART00020026539	1152.00	913.00	1803.00	1426.00	1167.00	1704.00	331.00	1482.00	1904.00	301.00
ENSOARG00020017178	ENSOART00020026433	3.60	8.25	0.80	1.24	6.43	9.34	5.67	6.05	10.17	2.54
ENSOARG00020017179	ENSOART00020026707,ENSOART00020026775	50.00	86.00	86.00	57.00	129.00	133.00	88.00	104.00	74.00	90.00
ENSOARG00020017180	ENSOART00020026462	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOARG00020017181	ENSOART00020026638,ENSOART00020026680	41.00	69.00	18.00	33.00	44.00	60.00	182.00	45.00	49.00	66.00
ENSOARG00020017182	ENSOART00020026432	92.14	214.82	72.78	59.88	53.56	89.75	345.28	116.32	259.76	255.30
ENSOARG00020017183	ENSOART00020026725,ENSOART00020027318,ENSOART00020027695,ENSOART00020028022,ENSOART00020028281,ENSOART00020028683,ENSOART00020028796,ENSOART00020029184	7968.00	4740.00	8540.00	7648.00	7148.00	8708.00	2943.00	8287.00	9632.00	4161.00
ENSOARG00020017184	ENSOART00020026502,ENSOART00020026566	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOARG00020017185	ENSOART00020026427	263.00	250.00	170.00	237.00	134.00	247.00	176.00	204.00	353.00	168.00
ENSOARG00020017186	ENSOART00020026409	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOARG00020017187	ENSOART00020026483	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOARG00020017188	ENSOART00020026438	7.00	11.00	6.00	1.00	5.00	9.00	23.00	4.00	28.00	4.00
ENSOARG00020017189	ENSOART00020026551	431.00	432.08	532.00	516.13	565.00	788.00	259.00	689.00	396.00	218.00
ENSOARG00020017190	ENSOART00020026494	2870.24	5574.00	3093.00	2916.00	3605.00	4387.97	9734.98	3597.00	7026.99	7815.98
ENSOARG00020017191	ENSOART00020026425	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOARG00020017192	ENSOART00020026429	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
